Description,ShortName,Required Agg,ParseMarkdown,From Consensus,Variable Name,Variable Type,Section,Persona
Are the actual targets or labels provided in the dataset or only summarized?,Are the actual labels provided in the dataset or only summarized?,o,n,y,ActualLabels,string,Labeling Provenance and Lineage,DM/Comp
If software was used as part of generating targets or labels please provide details and a link,Details of software used for generating labels,o,n,y,LabelSoftware,string,Labeling Provenance and Lineage,Both
When was the data last updated?,Dataset last updated,o,n,y,LastUpdate,string,Maintenance and Distribution,Both
What has changed on version update?,What has changed on version update?,o,y,y,VersionChange,string,Maintenance and Distribution,Bench/Clinical
Static or dynamic versioning,Type of Versioning,o,n,y,StaticDynamic,string,Maintenance and Distribution,DM/Comp
Number of dataset versions or releases currently available,Number of dataset versions or releases currently available,o,n,y,NDatasets,string,Maintenance and Distribution,Both
Description of the multiple versions of the dataset (If multiple exist),Description of versions or releases,o,y,y,VersionInfo,string,Maintenance and Distribution,Both
More versions expected?,More versions expected?,o,n,y,MoreExpected,string,Maintenance and Distribution,DM/Comp
Who maintains the data?,Data Maintainer,o,n,y,WhoMaintains,string,Maintenance and Distribution,Both
Contact Info,Maintainer Contact Info,o,y,y,ContactInfo,string,Maintenance and Distribution,DM/Comp
Future update types,Future updates,o,y,y,FutureUpdType,string,Maintenance and Distribution,DM/Comp
